HOME,AWAY,COMP,GOAL_PERCENT,WIN_PERCENT,TABLE DIFF,HOME_FORM,AWAY_FORM,HOME_GEN_FORM,H2HOME_NAME,H2H_FORM,HOME_GF,AWAY_GA,HOME_GA,AWAY_GF,H2H_GOALS
Stellenbosch FC,AmaZulu,Premier Division,75,45,-13.33333333,2.5,2.5,2.5,AmaZulu,0.5,4,3,2,2,1
,,,,,,,,,,,,,,,
Moroka Swallows,Lamontville Golden Arrows,Premier Division,75,48.2,-13.33333333,2,3.5,2.5,Golden Arrows,0.5,3,4,1,2,2
,,,,,,,,,,,,,,,
Konyaspor,Galatasaray,Süper Lig,50,51.6,-50,3.5,1,4,Galatasaray,1,2,1,1,2,2
,,,,,,,,,,,,,,,
FK Metalist Kharkiv,FC Oleksandriya,Premier League,75,53.6,-53.33333333,2,2,2.5,FC Oleksandriya,2,2,5,2,2,1
,,,,,,,,,,,,,,,
Monagas,Estudiantes de Merida,Liga FUTVE,68.75,46.8,42.85714286,3,1,3.5,Estud Mérida,1,3,3,1,2,2
,,,,,,,,,,,,,,,
CD Hermanos Colmenarez,Carabobo,Liga FUTVE,31.25,22.4,-21.42857143,2,0.5,2,Carabobo,0,2,0,1,1,1
,,,,,,,,,,,,,,,
Caracas,Metropolitanos,Liga FUTVE,56.25,40.2,64.28571429,2,2,3,Caracas,0.5,3,2,2,0,2
,,,,,,,,,,,,,,,
Deportivo La Guaira,Zamora,Liga FUTVE,50,39,-28.57142857,1.5,1,2.5,Zamora,1.5,2,2,1,1,2
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Mineros,Academia Puerto Cabello,Liga FUTVE,37.5,26,-64.28571429,1.5,0,2,Acad Pr Cabello,1,1,1,0,2,2
,,,,,,,,,,,,,,,
Deportivo Tachira,Universidad Central de Venezuela FC,Liga FUTVE,43.75,63,85.71428571,3,2.5,4,Dep Táchira,1.5,3,3,0,0,1
,,,,,,,,,,,,,,,
Waasland Beveren,Lierse Kempenzonen,First Division B,93.75,74.4,27.27272727,4.5,2.5,3,Lierse Kempenzonen,2,5,4,2,2,2
,,,,,,,,,,,,,,,
KRC Genk U23,Virton,First Division B,81.25,46.8,18.18181818,2,3,1.5,Virton,1,5,5,2,1,0
,,,,,,,,,,,,,,,
Jong PSV,De Graafschap,Eerste Divisie,87.5,48.2,-15.78947368,2,4,1.5,De Graafschap,0.5,5,3,2,2,2
,,,,,,,,,,,,,,,
MVV Maastricht,Jong Utrecht,Eerste Divisie,81.25,67.2,63.15789474,4.5,4.5,3,Jong Utrecht,0,3,5,2,1,2
,,,,,,,,,,,,,,,
Jong AZ,FC Eindhoven,Eerste Divisie,81.25,51.2,-26.31578947,4,2,4,FC Eindhoven,0,5,4,2,1,1
,,,,,,,,,,,,,,,
Den Bosch,Dordrecht,Eerste Divisie,75,45.2,5.263157895,1,4,1,Dordrecht,1,4,4,1,1,2
,,,,,,,,,,,,,,,
Jong Ajax,Almere City,Eerste Divisie,68.75,59.6,-63.15789474,3.5,3,2.5,Almere City,1,4,1,2,2,2
,,,,,,,,,,,,,,,
ADO Den Haag,Willem II,Eerste Divisie,81.25,38.4,-31.57894737,2.5,3,1,Willem II,0,4,4,2,2,1
,,,,,,,,,,,,,,,
Oss,Heracles Almelo,Eerste Divisie,75,32.4,-78.94736842,1.5,1,2,Heracles Almelo,1,5,3,1,2,1
,,,,,,,,,,,,,,,
Zwolle,NAC Breda,Eerste Divisie,87.5,72.6,31.57894737,3,3.5,5,NAC Breda,1.5,5,5,1,2,1
,,,,,,,,,,,,,,,
Helmond Sport,Telstar,Eerste Divisie,62.5,33.8,-10.52631579,2,2,1,Telstar,0.5,5,2,0,1,2
,,,,,,,,,,,,,,,
Arbroath FC,Greenock Morton,Championship,87.5,40.6,-55.55555556,1,2.5,1,Gr'nock Morton,1.5,4,5,1,2,2
